Temp,MaxTemp,MinTemp,LinkMargin,timestamp
7.9250,16.2162,0.8037,48,2016-10-08T05:47:12.955Z
7.8125,16.2162,0.8037,48,2016-10-08T05:46:44.910Z
7.7000,16.2162,0.8037,48,2016-10-08T05:46:12.836Z
7.5875,16.2162,0.8037,48,2016-10-08T05:45:42.840Z
7.7000,16.2162,0.8037,48,2016-10-08T05:45:13.170Z
7.4750,16.2162,0.8037,48,2016-10-08T05:44:43.090Z
7.4750,16.2162,0.8037,48,2016-10-08T05:44:12.801Z
7.4750,16.2162,0.8037,48,2016-10-08T05:43:42.797Z
7.3625,16.2162,0.8037,48,2016-10-08T05:43:15.768Z
7.3625,16.2162,0.8037,48,2016-10-08T05:42:44.368Z
7.3625,16.2162,0.8037,48,2016-10-08T05:41:42.887Z
7.2500,16.2162,0.8037,48,2016-10-08T05:41:12.908Z
7.2500,16.2162,0.8037,48,2016-10-08T05:40:43.393Z
7.1375,16.2162,0.8037,48,2016-10-08T05:40:13.128Z
7.0250,16.2162,0.8037,48,2016-10-08T05:39:42.858Z
7.1375,16.2162,0.8037,48,2016-10-08T05:39:12.848Z
7.0250,16.2162,0.8037,48,2016-10-08T05:38:43.126Z
6.9125,16.2162,0.8037,48,2016-10-08T05:38:12.832Z
6.8000,16.2162,0.8037,48,2016-10-08T05:37:12.994Z
6.8000,16.2162,0.8037,48,2016-10-08T05:36:42.808Z
6.8000,16.2162,0.8037,48,2016-10-08T05:36:12.800Z
6.6875,16.2162,0.8037,48,2016-10-08T05:35:42.797Z
6.6875,16.2162,0.8037,48,2016-10-08T05:35:12.920Z
6.5750,16.2162,0.8037,48,2016-10-08T05:34:42.780Z
6.6875,16.2162,0.8037,48,2016-10-08T05:34:12.870Z
6.5750,16.2162,0.8037,48,2016-10-08T05:33:42.762Z
6.5750,16.2162,0.8037,48,2016-10-08T05:32:43.864Z
6.4625,16.2162,0.8037,48,2016-10-08T05:32:13.836Z
6.4625,16.2162,0.8037,48,2016-10-08T05:31:42.857Z
6.4625,16.2162,0.8037,48,2016-10-08T05:31:13.382Z
6.3500,16.2162,0.8037,48,2016-10-08T05:30:43.036Z
6.3500,16.2162,0.8037,48,2016-10-08T05:30:13.214Z
6.3500,16.2162,0.8037,48,2016-10-08T05:29:42.848Z
6.3500,16.2162,0.8037,48,2016-10-08T05:29:17.164Z
6.3500,16.2162,0.8037,48,2016-10-08T05:28:42.922Z
6.3500,16.2162,0.8037,48,2016-10-08T05:28:13.455Z
6.3500,16.2162,0.8037,48,2016-10-08T05:27:43.443Z
6.3500,16.2162,0.8037,48,2016-10-08T05:27:12.983Z
6.4625,16.2162,0.8037,48,2016-10-08T05:26:42.782Z
6.5750,16.2162,0.8037,48,2016-10-08T05:26:12.772Z
6.5750,16.2162,0.8037,48,2016-10-08T05:25:42.889Z
6.6875,16.2162,0.8037,48,2016-10-08T05:25:12.860Z
6.6875,16.2162,0.8037,48,2016-10-08T05:24:42.874Z
6.8000,16.2162,0.8037,48,2016-10-08T05:24:12.874Z
7.0250,16.2162,0.8037,48,2016-10-08T05:22:44.842Z
7.1375,16.2162,0.8037,48,2016-10-08T05:22:16.108Z
7.1375,16.2162,0.8037,48,2016-10-08T05:21:42.704Z
7.2500,16.2162,0.8037,48,2016-10-08T05:21:12.986Z
7.2500,16.2162,0.8037,48,2016-10-08T05:20:43.808Z
7.4750,16.2162,0.8037,48,2016-10-08T05:20:13.058Z
7.4750,16.2162,0.8037,48,2016-10-08T05:19:42.814Z
7.5875,16.2162,0.8037,48,2016-10-08T05:19:13.068Z
7.5875,16.2162,0.8037,48,2016-10-08T05:18:43.577Z
7.7000,16.2162,0.8037,48,2016-10-08T05:18:12.777Z
7.7000,16.2162,0.8037,48,2016-10-08T05:17:43.739Z
7.8125,16.2162,0.8037,48,2016-10-08T05:17:13.139Z
7.9250,16.2162,0.8037,48,2016-10-08T05:16:42.922Z
7.9250,16.2162,0.8037,48,2016-10-08T05:16:12.864Z
8.0375,16.2162,0.8037,48,2016-10-08T05:15:42.865Z
8.0375,16.2162,0.8037,48,2016-10-08T05:15:12.856Z
8.1500,16.2162,0.8037,48,2016-10-08T05:14:43.827Z
8.2625,16.2162,0.8037,48,2016-10-08T05:14:12.839Z
8.3750,16.2162,0.8037,48,2016-10-08T05:13:42.833Z
8.3750,16.2162,0.8037,48,2016-10-08T05:13:15.185Z
8.4875,16.2162,0.8037,48,2016-10-08T05:12:44.125Z
8.6000,16.2162,0.8037,48,2016-10-08T05:12:13.009Z
8.6000,16.2162,0.8037,48,2016-10-08T05:11:42.801Z
8.7125,16.2162,0.8037,48,2016-10-08T05:11:13.728Z
8.8250,16.2162,0.8037,48,2016-10-08T05:10:42.786Z
8.8250,16.2162,0.8037,48,2016-10-08T05:10:12.778Z
8.9375,16.2162,0.8037,48,2016-10-08T05:09:42.782Z
9.0500,16.2162,0.8037,48,2016-10-08T05:09:13.121Z
9.0500,16.2162,0.8037,48,2016-10-08T05:08:42.802Z
9.1625,16.2162,0.8037,48,2016-10-08T05:08:12.902Z
